Year_Birth;Education;Marital_Status;Estimated_Income;Kid_home;Teen_home;Registration_date;Recency;Exist_Complain;MntWines;MntFruits;MntMeatProducts;MntFishProducts;MntSweetProducts;MntGoldProds;NumWebPurchases;NumCatalogPurchases;NumStorePurchases
1957;Graduation;Single;58138;0;0;04.09.2020;58;0;635;88;546;172;88;88;8;10;4
1954;Graduation;Single;46344;1;1;08.03.2022;38;0;11;1;6;2;1;6;1;1;2
1965;Graduation;Together;71613;0;0;21.08.2021;26;0;426;49;127;111;21;42;8;2;10
1984;Graduation;Together;26646;1;0;10.02.2022;26;0;11;4;20;10;3;5;2;0;4
1981;PhD;Married;58293;1;0;19.01.2022;94;0;173;43;118;46;27;15;5;3;6
1967;Master;Together;62513;0;1;09.09.2021;16;0;520;42;98;0;42;14;6;4;10
1971;Graduation;Divorced;55635;0;1;13.11.2020;34;0;235;65;164;50;49;27;7;3;7
1985;PhD;Married;33454;1;0;08.05.2021;32;0;76;10;56;3;1;23;4;0;4
1974;PhD;Together;30351;1;0;06.06.2021;19;0;14;0;24;3;3;2;3;0;2
1950;PhD;Together;5648;1;1;13.03.2022;68;0;28;0;6;1;1;13;1;0;0
1983;Graduation;Married;;1;0;15.11.2021;11;0;5;5;6;0;2;1;1;0;2
1976;Basic;Married;7500;0;0;13.11.2020;59;0;6;16;11;11;1;16;2;0;3
1959;Graduation;Divorced;63033;0;0;15.11.2021;82;0;194;61;480;225;112;30;3;4;8
1952;Master;Divorced;59354;1;1;15.11.2021;53;0;233;2;53;3;5;14;6;1;5
1987;Graduation;Married;17323;0;0;10.10.2020;38;0;3;14;17;6;1;5;1;0;3
1946;PhD;Single;82800;0;0;24.11.2020;23;0;1006;22;115;59;68;45;7;6;12
1980;Graduation;Married;41850;1;1;24.12.2020;51;0;53;5;19;2;13;4;3;0;3
1946;Graduation;Together;37760;0;0;31.08.2020;20;0;84;5;38;150;12;28;4;1;6
1949;Master;Married;76995;0;1;28.03.2021;91;0;1012;80;498;0;16;176;11;4;9
1985;2n Cycle;Single;33812;1;0;03.11.2020;86;0;4;17;19;30;24;39;2;1;3
1982;Graduation;Married;37040;0;0;08.08.2020;41;0;86;2;73;69;38;48;4;2;5
1979;Graduation;Married;2447;1;0;06.01.2021;42;0;1;1;1725;1;1;1;0;28;0
1949;PhD;Married;58607;0;1;23.12.2020;63;0;867;0;86;0;0;19;2;3;9
1954;PhD;Married;65324;0;1;11.01.2022;0;0;384;0;102;21;32;5;6;2;9
1951;Graduation;Together;40689;0;1;18.03.2021;69;0;270;3;27;39;6;99;7;1;5
1969;Graduation;Single;18589;0;0;02.01.2021;89;0;6;4;25;15;12;13;2;1;3
1976;Graduation;Married;53359;1;1;27.05.2021;4;0;173;4;30;3;6;41;5;1;4
1986;Graduation;Single;;1;0;20.02.2021;19;0;5;1;3;3;263;362;27;0;0
1989;Graduation;Married;38360;1;0;31.05.2021;26;0;36;2;42;20;21;10;2;1;4
1965;PhD;Married;84618;0;0;22.11.2021;96;0;684;100;801;21;66;0;6;9;10
1989;Master;Divorced;10979;0;0;22.05.2022;34;0;8;4;10;2;2;4;3;0;3
1963;Master;Together;38620;0;0;11.05.2021;56;0;112;17;44;34;22;89;2;5;3
1970;Graduation;Together;40548;0;1;10.10.2020;31;0;110;0;5;2;0;3;2;1;4
1952;PhD;Divorced;46610;0;2;29.10.2020;8;0;96;12;96;33;22;43;4;1;6
1946;Master;Married;68657;0;0;20.02.2021;4;0;482;34;471;119;68;22;3;5;9
1951;Master;Single;49389;1;1;29.08.2021;55;0;40;0;19;2;1;3;2;0;3
1970;PhD;Married;67353;0;1;31.12.2021;37;0;702;17;151;0;8;35;5;6;12
1976;2n Cycle;Married;23718;1;0;02.09.2021;76;0;6;3;14;15;7;36;3;1;2
1973;Graduation;Widow;42429;0;1;11.02.2022;99;0;55;0;6;2;0;4;1;1;3
1943;PhD;Divorced;48948;0;0;01.02.2021;53;0;437;8;206;160;49;42;7;10;5
1980;Graduation;Married;80011;0;1;29.04.2021;3;0;421;76;536;82;178;102;8;6;5
1985;Master;Married;20559;1;0;12.03.2021;88;0;13;1;29;3;0;7;2;0;3
1957;Graduation;Together;21994;0;1;24.12.2020;4;0;9;0;6;3;1;3;0;0;3
1959;PhD;Single;;0;0;05.11.2021;80;0;81;11;50;3;2;39;1;3;4
1975;Master;Married;7500;1;0;02.10.2021;19;0;3;1;10;3;2;12;2;0;3
1976;Graduation;Single;79941;0;0;28.06.2022;72;0;123;164;266;227;30;174;2;4;9
1996;2n Cycle;Married;7500;0;0;09.11.2020;24;0;3;18;14;15;22;50;3;1;3
1968;Graduation;Together;41728;1;0;24.05.2021;92;0;13;6;15;3;5;13;2;0;2
1951;Graduation;Single;;2;1;01.01.2022;96;0;48;5;48;6;10;7;2;1;4
1954;PhD;Married;72550;1;1;08.11.2020;39;0;826;50;317;50;38;38;5;2;12
1957;Graduation;Widow;65486;0;1;12.05.2022;29;0;245;19;125;37;67;14;4;2;10
1964;Master;Married;79143;0;0;11.08.2020;2;0;650;37;780;27;167;32;6;9;13
1977;Graduation;Single;35790;1;0;02.01.2021;54;0;12;6;20;30;1;3;2;0;3
1977;Graduation;Divorced;82582;0;0;07.06.2022;54;0;510;120;550;156;40;241;4;9;7
1978;Graduation;Married;66373;1;1;12.06.2021;57;0;328;9;124;12;24;109;4;2;10
1955;Master;Together;82384;0;0;19.11.2020;55;0;984;51;432;180;120;190;3;10;13
1966;Graduation;Divorced;70287;0;0;02.04.2021;30;0;295;35;482;121;120;40;5;5;10
1988;Graduation;Single;27938;1;0;28.04.2022;31;0;13;0;8;2;1;5;1;0;4
1982;Graduation;Single;;1;0;17.06.2021;57;0;11;3;22;2;2;6;2;0;3
1968;PhD;Married;55954;0;1;03.03.2022;63;0;447;0;28;0;0;43;8;2;6
1982;Master;Single;75777;0;0;04.07.2021;12;0;712;26;538;69;13;80;3;6;11
1975;Graduation;Together;66653;1;1;07.09.2020;18;0;452;18;102;16;18;6;4;2;12
1952;Graduation;Single;61823;0;1;18.02.2021;26;0;523;7;134;37;14;169;8;2;10
1951;PhD;Widow;67680;0;1;11.06.2021;8;0;546;0;48;0;6;6;7;3;8
1948;Graduation;Together;70666;0;0;06.12.2021;29;0;398;40;367;119;122;30;7;4;4
1971;Graduation;Married;25721;1;0;21.05.2021;75;0;1;3;6;3;6;15;1;1;2
1967;Graduation;Together;32474;1;1;11.05.2022;0;0;10;0;1;0;0;0;1;0;2
1979;2n Cycle;Single;88194;0;1;19.03.2022;19;0;688;14;309;201;24;38;11;10;10
1958;Graduation;Together;69096;0;1;27.09.2021;4;0;247;49;159;7;82;109;5;2;10
1970;Graduation;Together;74854;1;2;08.04.2021;90;0;856;59;487;58;29;73;2;5;5
1954;Master;Married;66991;0;0;11.09.2020;1;0;496;36;460;189;60;12;4;8;6
1973;2n Cycle;Married;;1;0;14.09.2020;25;0;25;3;43;17;4;17;3;0;3
1959;Graduation;Married;65031;0;1;17.03.2021;29;0;258;107;291;84;37;86;10;3;13
1975;PhD;Married;60631;1;1;05.04.2021;88;0;565;6;65;0;6;19;9;2;8
1952;Graduation;Married;28332;0;0;30.04.2022;58;0;14;10;13;4;15;9;2;1;4
1977;Graduation;Divorced;40246;1;0;19.12.2020;68;0;2;1;6;2;1;1;1;0;2
1972;Master;Married;75251;0;0;27.08.2020;34;0;721;111;925;97;18;18;7;6;5
1976;Graduation;Single;75825;0;0;12.10.2020;40;0;1032;105;779;137;105;51;5;8;9
1976;2n Cycle;Together;26326;0;0;04.09.2021;12;1;1;0;5;0;3;9;0;0;3
1965;Graduation;Together;56046;0;0;02.01.2021;9;0;577;0;64;0;0;51;10;1;8
1985;Graduation;Single;29760;1;0;29.08.2020;87;0;64;4;68;7;5;17;3;1;4
1969;Graduation;Married;26304;1;0;23.06.2021;5;0;4;1;5;2;0;4;1;0;2
1973;2n Cycle;Married;23559;1;0;03.07.2021;87;0;25;5;19;7;0;23;3;0;3
1963;Master;Together;38620;0;0;11.05.2021;56;0;112;17;44;34;22;89;2;5;3
1987;Graduation;Divorced;81361;0;0;25.02.2022;18;0;163;23;424;27;65;76;3;10;13
1960;Graduation;Married;29440;1;1;11.08.2021;95;0;17;8;14;10;4;3;1;0;4
1970;Master;Married;36138;1;1;16.07.2021;48;0;130;0;16;0;0;5;3;1;4
1957;Graduation;Single;50388;0;1;28.05.2022;3;0;292;6;37;0;3;34;6;1;6
1973;Graduation;Married;79593;0;0;12.05.2022;70;0;350;60;568;110;133;145;5;6;7
1967;Graduation;Together;54178;0;1;21.01.2022;79;0;135;9;39;4;0;7;2;2;5
1957;PhD;Married;;2;1;19.11.2020;4;0;230;42;192;49;37;53;7;2;8
1957;Graduation;Single;;1;1;27.05.2022;45;0;7;0;8;2;0;1;1;0;2
1973;Master;Together;;0;0;23.11.2021;87;0;445;37;359;98;28;18;2;4;8
1972;Master;Single;42394;1;0;23.03.2022;69;0;15;2;10;0;1;4;1;0;3
1970;PhD;Married;23626;1;0;24.05.2022;84;0;27;2;14;0;0;0;3;1;3
1983;Graduation;Married;30096;1;0;22.05.2022;30;0;5;3;11;12;5;9;2;0;3
1960;Graduation;Widow;47916;0;1;22.11.2020;72;0;505;0;26;0;0;75;7;4;6
1972;Graduation;Divorced;51813;1;1;11.04.2021;37;0;51;2;7;0;1;2;2;0;3
1951;2n Cycle;Married;78497;0;0;01.12.2021;44;0;207;26;447;75;0;223;5;7;12
1983;PhD;Married;50150;0;0;20.06.2021;32;0;135;46;92;65;61;11;5;2;7
1960;2n Cycle;Single;47823;0;1;23.07.2021;0;0;53;1;5;2;1;10;2;0;3
1959;PhD;Single;34554;0;1;30.03.2022;43;0;41;1;6;2;0;5;2;0;3
1979;Graduation;Together;85693;0;1;20.04.2021;59;0;386;172;183;185;132;111;9;5;11
1945;PhD;Married;65846;0;0;17.05.2021;68;0;562;81;276;80;40;81;6;3;6
1959;Graduation;Married;87195;0;0;08.05.2022;35;0;217;76;690;50;26;38;3;11;5
1979;Basic;Together;24594;1;0;10.12.2021;94;0;1;3;6;10;0;9;1;0;3
1964;Graduation;Married;49096;1;1;24.09.2021;15;0;144;1;32;2;1;7;4;1;4
1969;Graduation;Married;52413;0;2;02.02.2021;56;0;295;106;271;75;98;65;6;4;12
